,time_to_equilibrium,mean_happiness_checking_duration,mean_number_of_unhappy,median_number_of_unhappy,variance_of_unhappy_numbers,entropy_of_table_population,average_minority_percent,inter_table_variance_in_minority_percentages
0,1,0.0,0.0,0.0,0.0,1.3762266043445464,,
1,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.35666666666666663,0.015511111111111111
2,1,0.0,10.0,10.0,200.0,1.5260394155804642,0.15,0.039999999999999994
3,1,0.0,0.0,0.0,0.0,1.4886936332683078,0.22000000000000003,0.01937777777777778
4,1,0.0,0.0,0.0,0.0,1.4964159349401391,0.1757142857142857,0.02635918367346939
5,1,0.0,0.0,0.0,0.0,1.4263010621165086,0.15555555555555553,0.03753086419753085
6,1,0.0,0.0,0.0,0.0,1.5571130980576458,0.3,0.06000000000000001
7,1,0.0,0.0,0.0,0.0,1.5571130980576455,0.3,0.035
8,1,0.0,10.0,10.0,200.0,1.4886936332683078,0.2866666666666667,0.03004444444444444
9,1,0.0,10.0,10.0,200.0,1.5841707585125298,0.04,0.0064
10,1,0.0,0.0,0.0,0.0,1.501327210229093,0.11666666666666665,0.021111111111111115
11,1,0.0,0.0,0.0,0.0,1.4263010621165084,0.23888888888888887,0.044938271604938275
12,1,0.0,0.0,0.0,0.0,1.4964159349401391,0.25857142857142856,0.03172244897959183
13,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.24,0.02817777777777778
14,1,0.0,0.0,0.0,0.0,1.5741030017371853,0.3833333333333333,0.01
15,1,0.0,0.0,0.0,0.0,1.458174899361326,0.32166666666666666,0.02887777777777778
16,1,0.0,10.0,10.0,200.0,1.289921982609012,,
17,1,0.0,0.0,0.0,0.0,1.5741030017371853,0.16666666666666666,0.04444444444444445
18,1,0.0,0.0,0.0,0.0,1.5671808548329902,0.22999999999999998,0.041600000000000005
19,1,0.0,10.0,10.0,200.0,1.3350851650920204,,
20,1,0.0,0.0,0.0,0.0,1.4490023958526383,0.2333333333333333,0.05111111111111112
21,1,0.0,10.0,10.0,200.0,1.5047882836811908,0.3,0.06000000000000001
22,2,0.0,13.333333333333334,20.0,133.33333333333334,1.5671808548329902,0.0,0.0
23,1,0.0,0.0,0.0,0.0,1.5430293192600038,0.29047619047619044,0.02639455782312925
24,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.10666666666666666,0.018844444444444445
25,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.22333333333333333,0.015066666666666664
26,1,0.0,10.0,10.0,200.0,1.4702535277519118,0.24238095238095236,0.020708390022675733
27,1,0.0,0.0,0.0,0.0,1.5148560404565352,0.15333333333333335,0.02204444444444445
28,1,0.0,0.0,0.0,0.0,1.5741030017371853,0.26666666666666666,0.02888888888888889
29,1,0.0,0.0,0.0,0.0,1.5841707585125298,0.24666666666666665,0.02737777777777778
30,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.4066666666666666,0.014844444444444443
31,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.39666666666666667,0.009377777777777778
32,1,0.0,0.0,0.0,0.0,1.2353468116280646,,
33,1,0.0,0.0,0.0,0.0,1.5614694247763998,0.3466666666666666,0.000711111111111112
34,2,0.0,6.666666666666667,0.0,133.33333333333331,1.5571130980576455,0.11666666666666665,0.02111111111111111
35,1,0.0,0.0,0.0,0.0,1.4708084763221112,0.25,0.05
36,1,0.0,0.0,0.0,0.0,1.482887104712697,0.20714285714285713,0.010918367346938775
37,1,0.0,0.0,0.0,0.0,1.5013272102290933,0.15,0.039999999999999994
38,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.10666666666666666,0.018844444444444445
39,1,0.0,10.0,10.0,200.0,1.5545472778722047,0.18666666666666668,0.02737777777777778
40,1,0.0,0.0,0.0,0.0,1.4305622903362423,0.22857142857142856,0.05183673469387756
41,1,0.0,0.0,0.0,0.0,1.4150225884935588,0.27999999999999997,0.0536
42,1,0.0,0.0,0.0,0.0,1.56718085483299,0.1,0.04000000000000001
43,1,0.0,0.0,0.0,0.0,1.501327210229093,0.24,0.0504
44,1,0.0,0.0,0.0,0.0,1.5047882836811908,0.2,0.06000000000000001
45,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.20666666666666664,0.037511111111111106
46,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.22333333333333333,0.02617777777777778
47,1,0.0,0.0,0.0,0.0,1.5741030017371853,0.2333333333333333,0.014999999999999996
48,1,0.0,0.0,0.0,0.0,1.4490023958526383,0.24,0.0504
49,1,0.0,0.0,0.0,0.0,1.3923212547574289,0.15,0.039999999999999994
50,1,0.0,0.0,0.0,0.0,1.5741030017371853,0.29999999999999993,0.001666666666666666
51,1,0.0,0.0,0.0,0.0,1.458174899361326,0.11499999999999999,0.0229
52,1,0.0,0.0,0.0,0.0,1.5217781873607303,0.2,0.026666666666666665
53,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.15,0.039999999999999994
54,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.16333333333333333,0.02337777777777778
55,1,0.0,0.0,0.0,0.0,1.349168943889662,0.19166666666666665,0.026111111111111113
56,1,0.0,0.0,0.0,0.0,1.5444795210968603,0.29,0.014177777777777779
57,1,0.0,10.0,10.0,200.0,1.3535252706084164,,
