,time_to_equilibrium,mean_happiness_checking_duration,mean_number_of_unhappy,median_number_of_unhappy,variance_of_unhappy_numbers,entropy_of_table_population,average_minority_percent,inter_table_variance_in_minority_percentages
71,99,3.0033588409423828e-05,10.0,10.0,101.01010101010101,1.5113949670044378,0.21000000000000002,0.016400000000000005
72,99,2.999544143676758e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.3157142857142857,0.03155918367346939
73,99,3.9989948272705076e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.17,0.023600000000000003
74,99,7.009029388427735e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.19,0.012177777777777777
75,99,8.006572723388672e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.3323809523809524,0.030479818594104306
76,99,0.00010996341705322266,10.0,10.0,101.01010101010101,1.3762266043445461,,
77,99,8.021354675292969e-05,10.0,10.0,101.01010101010101,1.4305622903362423,0.27380952380952384,0.026077097505668934
78,99,6.996870040893555e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.14666666666666667,0.03271111111111112
79,99,5.992650985717773e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.27380952380952384,0.026077097505668934
80,99,4.999160766601563e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.34333333333333327,0.003066666666666668
81,99,4.99725341796875e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.2523809523809524,0.020260770975056692
82,99,9.000062942504883e-05,10.0,10.0,101.01010101010101,1.5134058386196787,0.29904761904761906,0.023749659863945578
83,99,5.004405975341797e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.19,0.0344
84,99,1.9986629486083984e-05,10.0,10.0,101.01010101010101,1.458174899361326,0.44666666666666666,0.004711111111111111
85,99,9.999275207519534e-06,10.0,10.0,101.01010101010101,1.5134058386196787,0.299047619047619,0.023749659863945578
86,99,4.0018558502197264e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.13333333333333333,0.026666666666666665
87,99,1.9996166229248048e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.3757142857142857,0.016073469387755102
88,99,2.0003318786621095e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.35238095238095235,0.03478458049886622
89,99,4.996776580810547e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.3633333333333333,0.006933333333333335
90,99,9.000301361083984e-05,10.0,10.0,101.01010101010101,1.3762266043445461,,
91,99,4.9989223480224606e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.4133333333333334,0.0056000000000000025
92,99,3.997564315795898e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.24666666666666667,0.04337777777777778
93,99,1.9989013671875e-05,10.0,10.0,101.01010101010101,1.4446460691338838,0.3416666666666667,0.03361111111111111
94,99,1.0001659393310548e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.44666666666666666,0.004711111111111111
95,99,4.001140594482422e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.13714285714285715,0.02951836734693878
96,99,3.998756408691406e-05,10.0,10.0,101.01010101010101,1.5217781873607303,0.36666666666666664,0.015555555555555555
97,99,1.9986629486083984e-05,10.0,10.0,101.01010101010101,1.5134058386196787,0.3419047619047619,0.013627210884353744
98,99,9.963512420654297e-06,10.0,10.0,101.01010101010101,1.5444795210968603,0.32999999999999996,0.0356
99,99,2.0008087158203125e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.22999999999999998,0.041600000000000005
100,99,6.998777389526367e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.3157142857142857,0.03155918367346939
101,99,9.005784988403321e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.2966666666666667,0.028711111111111114
102,99,5.999088287353516e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.22000000000000003,0.0166
103,99,1.9996166229248048e-05,10.0,10.0,101.01010101010101,1.4320124921730986,0.11666666666666665,0.021111111111111112
104,99,5.000114440917969e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.2966666666666667,0.02871111111111111
105,99,2.999544143676758e-05,10.0,10.0,101.01010101010101,1.4446460691338838,0.21666666666666665,0.03777777777777777
106,99,2.0012855529785156e-05,10.0,10.0,101.01010101010101,1.4877983800016512,0.19166666666666665,0.026111111111111113
107,99,6.002426147460937e-05,10.0,10.0,101.01010101010101,1.4320124921730986,0.28833333333333333,0.021433333333333332
108,99,6.006240844726562e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.1,0.015000000000000003
109,99,7.99870491027832e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.31333333333333335,0.02826666666666667
110,99,2.9919147491455077e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.19666666666666666,0.028044444444444445
111,99,6.000518798828125e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.3157142857142857,0.03155918367346939
112,99,7.992982864379883e-05,10.0,10.0,101.01010101010101,1.487798380001651,0.3333333333333333,0.03333333333333334
113,99,0.00010002851486206055,10.0,10.0,101.01010101010101,1.5260394155804642,0.2857142857142857,0.03010204081632653
114,99,3.997564315795898e-05,10.0,10.0,101.01010101010101,1.5260394155804642,0.38571428571428573,0.037959183673469385
115,99,5.000591278076172e-05,10.0,10.0,101.01010101010101,1.56718085483299,0.45999999999999996,0.0023999999999999985
116,99,2.998828887939453e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.30333333333333334,0.004933333333333333
117,99,4.001140594482422e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.19666666666666668,0.028044444444444445
118,99,3.0007362365722656e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.4257142857142857,0.01350204081632653
119,99,4.997491836547852e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.2966666666666667,0.02871111111111111
120,99,3.9989948272705076e-05,10.0,10.0,101.01010101010101,1.275038049043734,,
121,99,2.9978752136230468e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.41,0.0084
122,99,4.001379013061524e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.21666666666666665,0.03777777777777777
123,99,1.9989013671875e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.31333333333333335,0.028266666666666673
124,99,4.999160766601563e-05,10.0,10.0,101.01010101010101,1.596804335473315,0.3466666666666666,0.009044444444444443
125,99,3.000020980834961e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.32666666666666666,0.029511111111111116
126,99,3.999471664428711e-05,10.0,10.0,101.01010101010101,1.4150225884935588,0.32999999999999996,0.0356
127,99,9.992122650146484e-06,10.0,10.0,101.01010101010101,1.5444795210968603,0.4133333333333333,0.005600000000000001
128,99,5.999088287353516e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.31333333333333335,0.039377777777777775
129,99,5.001544952392578e-05,10.0,10.0,101.01010101010101,1.3705151742879562,0.15555555555555553,0.03753086419753086
130,99,3.999710083007812e-05,10.0,10.0,101.01010101010101,1.5134058386196787,0.39904761904761904,0.0039401360544217695
131,99,1.0001659393310548e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.19666666666666666,0.028044444444444445
132,99,1.999855041503906e-05,10.0,10.0,101.01010101010101,1.4446460691338838,0.125,0.0375
133,99,3.998279571533203e-05,10.0,10.0,101.01010101010101,1.5571130980576458,0.3,0.035
134,99,4.9996376037597654e-05,10.0,10.0,101.01010101010101,1.5571130980576458,0.45,0.010000000000000004
135,99,8.007287979125977e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.1638095238095238,0.019715192743764168
136,99,3.000020980834961e-05,10.0,10.0,101.01010101010101,1.596804335473315,0.44666666666666666,0.004711111111111112
137,99,3.0007362365722656e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.36666666666666664,0.015555555555555559
138,99,6.995201110839843e-05,10.0,10.0,101.01010101010101,1.5134058386196787,0.29047619047619044,0.02639455782312925
139,99,0.0,10.0,10.0,101.01010101010101,1.2870215789352992,,
140,99,2.9981136322021484e-05,10.0,10.0,101.01010101010101,1.458174899361326,0.27999999999999997,0.0536
141,99,3.000497817993164e-05,10.0,10.0,101.01010101010101,1.5545472778722047,0.26,0.0304
142,99,2.998828887939453e-05,10.0,10.0,101.01010101010101,1.5545472778722047,0.4066666666666666,0.0028444444444444446
143,99,2.0003318786621095e-05,10.0,10.0,101.01010101010101,1.596804335473315,0.29,0.0364
144,99,2.0015239715576173e-05,10.0,10.0,101.01010101010101,1.5430293192600038,0.3857142857142857,0.0046258503401360555
145,99,2.0012855529785156e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.39666666666666667,0.00937777777777778
146,99,3.002166748046875e-05,10.0,10.0,101.01010101010101,1.4708084763221114,0.325,0.034999999999999996
147,99,3.9992332458496096e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.1757142857142857,0.026359183673469382
148,99,1.9996166229248048e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.38,0.015377777777777778
149,99,3.998279571533203e-05,10.0,10.0,101.01010101010101,1.5148560404565352,0.27999999999999997,0.0376
150,99,4.998445510864258e-05,10.0,10.0,101.01010101010101,1.5217781873607306,0.39999999999999997,0.00666666666666667
151,99,3.998756408691406e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.23714285714285716,0.04208979591836735
152,99,6.000041961669922e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.3466666666666667,0.009044444444444445
153,99,4.0001869201660157e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.24666666666666667,0.018377777777777778
154,99,2.0015239715576173e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.16333333333333333,0.023377777777777782
155,99,1.9991397857666014e-05,10.0,10.0,101.01010101010101,1.5047882836811908,0.31666666666666665,0.03444444444444445
156,99,3.9989948272705076e-05,10.0,10.0,101.01010101010101,1.458174899361326,0.32166666666666666,0.02887777777777778
157,99,6.00433349609375e-05,10.0,10.0,101.01010101010101,1.4150225884935588,0.355,0.034100000000000005
158,99,3.999948501586914e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.21571428571428575,0.03470204081632653
159,99,1.9991397857666014e-05,10.0,10.0,101.01010101010101,1.5217781873607306,0.2333333333333333,0.04
160,99,1.9996166229248048e-05,10.0,10.0,101.01010101010101,1.4702535277519118,0.2257142857142857,0.04378775510204082
161,99,5.9995651245117184e-05,10.0,10.0,101.01010101010101,1.526039415580464,0.2738095238095238,0.026077097505668934
162,99,6.0045719146728514e-05,10.0,10.0,101.01010101010101,1.5013272102290933,0.27999999999999997,0.028600000000000004
163,99,4.010915756225586e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.35333333333333333,0.009600000000000001
164,99,3.998517990112305e-05,10.0,10.0,101.01010101010101,1.5968043354733152,0.39666666666666667,0.009377777777777778
165,99,3.0014514923095703e-05,10.0,10.0,101.01010101010101,0.9989315046035592,,
166,99,4.000663757324219e-05,10.0,10.0,101.01010101010101,1.5545472778722047,0.34,0.0304
167,99,2.000570297241211e-05,10.0,10.0,101.01010101010101,1.5841707585125298,0.3433333333333333,0.0030666666666666676
