subset_index,len(dataset_subset),accuracy,number of timesteps
1,40,0.6393738985061646,2
2,80,0.6083148717880249,4
3,120,0.619773805141449,6
4,160,0.6631205677986145,8
5,200,0.5978857278823853,10
6,240,0.6165612936019897,12
7,280,0.6431348323822021,14
8,320,0.6255388855934143,16
9,360,0.6340885758399963,18
10,400,0.6370117664337158,20
11,440,0.6250259280204773,22
12,480,0.6422924995422363,24
13,520,0.6218951940536499,26
14,560,0.6455497145652771,28
15,600,0.6454086899757385,30
16,640,0.628715991973877,32
17,680,0.6890205144882202,34
18,720,0.6515601873397827,36
19,760,0.6574015021324158,38
20,800,0.6949134469032288,40
21,840,0.6526914238929749,42
22,880,0.6672046184539795,44
23,920,0.7044914960861206,46
24,960,0.6795232892036438,48
25,1000,0.6729723811149597,50
26,1040,0.680994987487793,52
27,1080,0.6721042394638062,54
28,1120,0.707756519317627,56
29,1160,0.7046306729316711,58
30,1200,0.7158663272857666,60
31,1240,0.6934266090393066,62
32,1280,0.6847559809684753,64
33,1320,0.6879892349243164,66
34,1360,0.6925926208496094,68
35,1400,0.6870917081832886,70
36,1440,0.696925163269043,72
37,1480,0.6794871687889099,74
38,1520,0.7034844160079956,76
39,1560,0.7131428718566895,78
40,1600,0.6875430345535278,80
41,1640,0.6935298442840576,82
42,1680,0.6828056573867798,84
43,1720,0.672001838684082,86
44,1760,0.699650764465332,88
45,1800,0.7071745991706848,90
46,1840,0.6973962187767029,92
47,1880,0.6748293042182922,94
48,1920,0.6867170929908752,96
49,1960,0.6909846067428589,98
50,2000,0.7256489396095276,100
51,2040,0.6720057129859924,102
52,2080,0.6699063777923584,104
53,2120,0.7158516049385071,106
54,2160,0.7220072746276855,108
55,2200,0.7152221202850342,110
56,2240,0.7086278200149536,112
57,2280,0.7093222141265869,114
58,2320,0.7101449370384216,116
59,2360,0.7163994908332825,118
60,2400,0.7015350461006165,120
61,2440,0.7211036682128906,122
62,2480,0.7012727856636047,124
63,2520,0.7332748770713806,126
64,2560,0.7094339728355408,128
65,2600,0.7024500966072083,130
66,2640,0.7243216037750244,132
67,2680,0.7105933427810669,134
68,2720,0.7216824293136597,136
69,2760,0.7093709707260132,138
70,2800,0.7050786018371582,140
71,2840,0.7010095715522766,142
72,2880,0.7065245509147644,144
73,2920,0.7135213017463684,146
74,2960,0.7129750847816467,148
75,3000,0.7111082077026367,150
76,3040,0.6973301768302917,152
77,3080,0.7154234051704407,154
78,3120,0.7374033331871033,156
79,3160,0.7191432118415833,158
80,3200,0.742538332939148,160
81,3240,0.7361598610877991,162
82,3280,0.7119609713554382,164
83,3320,0.7030781507492065,166
84,3360,0.7225717902183533,168
85,3400,0.7345424294471741,170
86,3440,0.7252277135848999,172
87,3480,0.7181868553161621,174
88,3520,0.7328042387962341,176
89,3560,0.7113286852836609,178
90,3600,0.7048327922821045,180
91,3640,0.7489416003227234,182
92,3680,0.739155113697052,184
93,3720,0.7158929109573364,186
94,3760,0.7542203068733215,188
95,3800,0.749640703201294,190
96,3840,0.7416979670524597,192
97,3880,0.6946620345115662,194
98,3920,0.7410376071929932,196
99,3960,0.7481698393821716,198
100,4000,0.7390409111976624,200
101,4040,0.7415016293525696,202
102,4080,0.7527472376823425,204
103,4120,0.7148612141609192,206
104,4160,0.7460269927978516,208
105,4200,0.7545947432518005,210
106,4240,0.7523463368415833,212
107,4280,0.7512929439544678,214
108,4320,0.7425863742828369,216
109,4360,0.7423962950706482,218
110,4400,0.7588762044906616,220
111,4440,0.7274278402328491,222
112,4480,0.7530402541160583,224
113,4520,0.7467878460884094,226
114,4560,0.7469291090965271,228
