subset_index,len(dataset_subset),accuracy,number of timesteps
1,40,0.5609070658683777,2
2,80,0.6611636877059937,4
3,120,0.9445566534996033,6
4,160,0.9552178382873535,8
5,200,0.9852612614631653,10
6,240,0.9972465634346008,12
7,280,0.9995907545089722,14
8,320,1.0,16
9,360,1.0,18
10,400,0.9938004016876221,20
11,440,0.999377965927124,22
12,480,0.9998959898948669,24
13,520,0.9998956322669983,26
14,560,0.9995811581611633,28
15,600,1.0,30
16,640,0.9884039759635925,32
17,680,1.0,34
18,720,0.999893844127655,36
19,760,0.9982960820198059,38
20,800,0.999679446220398,40
21,840,1.0,42
22,880,0.9719173908233643,44
23,920,1.0,46
24,960,0.9998916387557983,48
25,1000,0.9996738433837891,50
26,1040,0.9966179132461548,52
27,1080,1.0,54
28,1120,1.0,56
29,1160,1.0,58
30,1200,1.0,60
31,1240,0.999444842338562,62
32,1280,1.0,64
33,1320,0.9993290305137634,66
34,1360,1.0,68
35,1400,1.0,70
36,1440,1.0,72
37,1480,0.9997730851173401,74
38,1520,1.0,76
39,1560,0.4991999864578247,78
40,1600,1.0,80
41,1640,0.9997697472572327,82
42,1680,0.9997689127922058,84
43,1720,1.0,86
44,1760,0.9998835921287537,88
45,1800,1.0,90
46,1840,0.9997653961181641,92
47,1880,1.0,94
48,1920,1.0,96
49,1960,1.0,98
50,2000,0.9996427893638611,100
51,2040,1.0,102
52,2080,1.0,104
53,2120,0.9998795390129089,106
54,2160,1.0,108
55,2200,1.0,110
56,2240,1.0,112
57,2280,0.9991436004638672,114
58,2320,1.0,116
59,2360,0.9998766779899597,118
