subset_index,len(dataset_subset),accuracy,number of timesteps
1,40,0.7663054466247559,2
2,80,0.7622306942939758,4
3,120,0.7665117979049683,6
4,160,0.7652482390403748,8
5,200,0.7879650592803955,10
6,240,0.7792168259620667,12
7,280,0.7833026647567749,14
8,320,0.7637035250663757,16
9,360,0.7570545673370361,18
10,400,0.8293035626411438,20
11,440,0.8270785808563232,22
12,480,0.8324318528175354,24
13,520,0.8501356840133667,26
14,560,0.8559162020683289,28
15,600,0.8641521334648132,30
16,640,0.7559561729431152,32
17,680,0.8773006200790405,34
18,720,0.8747612237930298,36
19,760,0.8843450546264648,38
20,800,0.8958110809326172,40
21,840,0.8909500241279602,42
22,880,0.8872390985488892,44
23,920,0.8913841247558594,46
24,960,0.8859155178070068,48
25,1000,0.860839307308197,50
26,1040,0.8973379731178284,52
27,1080,0.8916137218475342,54
28,1120,0.8903537392616272,56
29,1160,0.902094841003418,58
30,1200,0.8813896775245667,60
31,1240,0.914501428604126,62
32,1280,0.8967015743255615,64
33,1320,0.9138895273208618,66
34,1360,0.7443321943283081,68
35,1400,0.9307276606559753,70
36,1440,0.9257291555404663,72
37,1480,0.7432493567466736,74
38,1520,0.9314506649971008,76
39,1560,0.741599977016449,78
40,1600,0.9431062340736389,80
41,1640,0.9270089864730835,82
42,1680,0.9393343925476074,84
43,1720,0.9364416599273682,86
44,1760,0.9474970698356628,88
45,1800,0.9684505462646484,90
46,1840,0.7391508221626282,92
47,1880,0.9465504884719849,94
48,1920,0.9608839750289917,96
49,1960,0.7403321266174316,98
50,2000,0.9747558832168579,100
51,2040,0.979560136795044,102
52,2080,0.980801522731781,104
53,2120,0.979763925075531,106
54,2160,0.9806529879570007,108
55,2200,0.9749939441680908,110
56,2240,0.9761150479316711,112
57,2280,0.9743087887763977,114
58,2320,0.9700319170951843,116
59,2360,0.9789149165153503,118
