subset_index,len(dataset_subset),accuracy,number of timesteps
1,40,0.5016054511070251,2
2,80,0.5008053183555603,4
3,120,0.49585941433906555,6
4,160,0.5048632025718689,8
5,200,0.49542590975761414,10
6,240,0.49898022413253784,12
7,280,0.5014323592185974,14
8,320,0.4988708794116974,16
9,360,0.4944387376308441,18
10,400,0.49938005208969116,20
11,440,0.49429816007614136,22
12,480,0.5013521909713745,24
13,520,0.49676477909088135,26
14,560,0.49549737572669983,28
15,600,0.503677248954773,30
16,640,0.5087497234344482,32
17,680,0.5016924142837524,34
18,720,0.4984079897403717,36
19,760,0.501384437084198,38
20,800,0.49754220247268677,40
21,840,0.4998927712440491,42
22,880,0.49795567989349365,44
23,920,0.49600517749786377,46
24,960,0.5024918913841248,48
25,1000,0.49967384338378906,50
26,1040,0.4978180229663849,52
27,1080,0.4998905062675476,54
28,1120,0.5034058690071106,56
29,1160,0.5017640590667725,58
30,1200,0.5081876516342163,60
31,1240,0.5033311247825623,62
32,1280,0.49944284558296204,64
33,1320,0.49977633357048035,66
34,1360,0.4943883419036865,68
35,1400,0.5030412077903748,70
36,1440,0.4914085566997528,72
37,1480,0.5030633211135864,74
38,1520,0.49886131286621094,76
39,1560,0.49657142162323,78
40,1600,0.5045881867408752,80
41,1640,0.49746719002723694,82
42,1680,0.5017333030700684,84
43,1720,0.5025516152381897,86
44,1760,0.4996507465839386,88
45,1800,0.49859780073165894,90
46,1840,0.5023457407951355,92
47,1880,0.5017659664154053,94
48,1920,0.5051997303962708,96
49,1960,0.4983392655849457,98
50,2000,0.4989283084869385,100
51,2040,0.5121921896934509,102
52,2080,0.5076794028282166,104
53,2120,0.493615984916687,106
54,2160,0.4993954002857208,108
55,2200,0.5014566779136658,110
56,2240,0.4998781383037567,112
57,2280,0.4909469187259674,114
58,2320,0.4996315538883209,116
59,2360,0.4983970522880554,118
